1667341925.631189,10.10.1.100:38924,,,10,
1667341925.672115,10.10.1.100:38924,,,10,
1667341925.728514,10.10.1.100:38926,,,13,
1667341925.728788,10.10.1.100:38930,,,10,
1667341925.729220,10.10.1.100:38928,,,10,
1667341925.754675,10.10.1.100:38926,,,15,
1667341925.754961,10.10.1.100:38930,,,10,
1667341925.755384,10.10.1.100:38928,,,10,
1667341925.780955,10.10.1.100:38926,,,18,
1667341925.781240,10.10.1.100:38930,,,10,
1667341925.781700,10.10.1.100:38928,,,10,
1667341925.807127,10.10.1.100:38926,,,19,
1667341925.807356,10.10.1.100:38930,,,10,
1667341925.807652,10.10.1.100:38928,,,10,
1667341925.833135,10.10.1.100:38926,,,20,
1667341925.833402,10.10.1.100:38930,,,10,
1667341925.833852,10.10.1.100:38928,,,12,
1667341925.859199,10.10.1.100:38926,,,20,
1667341925.859473,10.10.1.100:38930,,,10,
1667341925.859960,10.10.1.100:38928,,,14,
1667341925.885190,10.10.1.100:38926,,,20,
1667341925.885467,10.10.1.100:38930,,,10,
1667341925.885938,10.10.1.100:38928,,,16,
1667341925.911263,10.10.1.100:38926,,,20,
1667341925.911544,10.10.1.100:38930,,,10,
1667341925.911968,10.10.1.100:38928,,,18,
1667341925.937366,10.10.1.100:38926,,,20,
1667341925.937651,10.10.1.100:38930,1,1,1,7
1667341925.938091,10.10.1.100:38928,,,20,
1667341925.963389,10.10.1.100:38926,,,20,
1667341925.963657,10.10.1.100:38930,0,1,13,
1667341925.964079,10.10.1.100:38928,,,20,
1667341925.990432,10.10.1.100:38926,,,20,
1667341925.990722,10.10.1.100:38930,0,1,15,
1667341925.991158,10.10.1.100:38928,,,20,
1667341926.016548,10.10.1.100:38926,,,20,
1667341926.016827,10.10.1.100:38930,0,1,17,
1667341926.017263,10.10.1.100:38928,,,20,
1667341926.042694,10.10.1.100:38926,,,20,
1667341926.042987,10.10.1.100:38930,0,1,19,
1667341926.043425,10.10.1.100:38928,,,20,
1667341926.068738,10.10.1.100:38926,,,21,
1667341926.069017,10.10.1.100:38930,0,1,20,
1667341926.069475,10.10.1.100:38928,,,20,
1667341926.094811,10.10.1.100:38926,,,23,
1667341926.095102,10.10.1.100:38930,0,1,20,
1667341926.095531,10.10.1.100:38928,,,20,
1667341926.120854,10.10.1.100:38926,,,24,24
1667341926.121147,10.10.1.100:38930,0,1,20,
1667341926.121591,10.10.1.100:38928,,,20,
1667341926.146819,10.10.1.100:38926,,,24,24
1667341926.147106,10.10.1.100:38930,0,1,21,
1667341926.147540,10.10.1.100:38928,,,21,
1667341926.172822,10.10.1.100:38926,,,24,24
