1667340702.607966,10.10.1.100:38908,,,10,
1667340702.684675,10.10.1.100:38912,,,10,
1667340702.684877,10.10.1.100:38910,,,12,
1667340702.685048,10.10.1.100:38914,,,10,
1667340702.711174,10.10.1.100:38912,,,10,
1667340702.711374,10.10.1.100:38910,,,14,
1667340702.711546,10.10.1.100:38914,,,10,
1667340702.737743,10.10.1.100:38912,,,10,
1667340702.737951,10.10.1.100:38910,,,16,
1667340702.738121,10.10.1.100:38914,,,10,
1667340702.764078,10.10.1.100:38912,,,10,
1667340702.764249,10.10.1.100:38910,,,19,
1667340702.764419,10.10.1.100:38914,,,10,
1667340702.790270,10.10.1.100:38912,,,11,
1667340702.790471,10.10.1.100:38910,,,20,
1667340702.790642,10.10.1.100:38914,,,10,
1667340702.816885,10.10.1.100:38912,,,13,
1667340702.817112,10.10.1.100:38910,,,20,
1667340702.817319,10.10.1.100:38914,,,10,
1667340702.843554,10.10.1.100:38912,,,15,
1667340702.843768,10.10.1.100:38910,,,20,
1667340702.843968,10.10.1.100:38914,,,10,
1667340702.870100,10.10.1.100:38912,,,17,
1667340702.870311,10.10.1.100:38910,,,20,
1667340702.870530,10.10.1.100:38914,,,10,
1667340702.897414,10.10.1.100:38912,,,20,
1667340702.897644,10.10.1.100:38910,,,20,
1667340702.897853,10.10.1.100:38914,,,10,
1667340702.923921,10.10.1.100:38912,,,20,
1667340702.924164,10.10.1.100:38910,,,20,
1667340702.924372,10.10.1.100:38914,0,1,12,
1667340702.950085,10.10.1.100:38912,,,20,
1667340702.950293,10.10.1.100:38910,,,20,
1667340702.950590,10.10.1.100:38914,0,1,14,
1667340702.976627,10.10.1.100:38912,,,20,
1667340702.976808,10.10.1.100:38910,,,20,
1667340702.976979,10.10.1.100:38914,0,1,16,
1667340703.002974,10.10.1.100:38912,,,20,
1667340703.003143,10.10.1.100:38910,,,20,
1667340703.003348,10.10.1.100:38914,0,1,18,
1667340703.029620,10.10.1.100:38912,,,20,
1667340703.029794,10.10.1.100:38910,,,21,
1667340703.029964,10.10.1.100:38914,0,1,20,
1667340703.056206,10.10.1.100:38912,,,20,
1667340703.056419,10.10.1.100:38910,,,23,
1667340703.056591,10.10.1.100:38914,0,1,20,
1667340703.082935,10.10.1.100:38912,,,20,
1667340703.083121,10.10.1.100:38910,,,25,
1667340703.083293,10.10.1.100:38914,0,1,20,
1667340703.109504,10.10.1.100:38912,,,20,
1667340703.109729,10.10.1.100:38910,,,26,
1667340703.109900,10.10.1.100:38914,0,1,21,
1667340703.135873,10.10.1.100:38912,,,21,
1667340703.136051,10.10.1.100:38910,,,27,
1667340703.136219,10.10.1.100:38914,0,1,21,
1667340703.162248,10.10.1.100:38912,,,21,
1667340703.162461,10.10.1.100:38910,,,29,
1667340703.162677,10.10.1.100:38914,0,1,21,
1667340703.188774,10.10.1.100:38912,,,21,
1667340703.188989,10.10.1.100:38910,,,32,
1667340703.189202,10.10.1.100:38914,0,1,21,
1667340703.215209,10.10.1.100:38912,,,21,
1667340703.215426,10.10.1.100:38910,,,34,
1667340703.215651,10.10.1.100:38914,0,1,21,
1667340703.241789,10.10.1.100:38912,,,21,
1667340703.242008,10.10.1.100:38910,,,36,
1667340703.242220,10.10.1.100:38914,0,1,21,
1667340703.268334,10.10.1.100:38912,,,21,
1667340703.268565,10.10.1.100:38910,,,38,
1667340703.268808,10.10.1.100:38914,0,1,21,
1667340703.294748,10.10.1.100:38912,,,21,
1667340703.294934,10.10.1.100:38910,,,40,
1667340703.295105,10.10.1.100:38914,0,1,21,
1667340703.321592,10.10.1.100:38912,,,24,
1667340703.321810,10.10.1.100:38910,,,40,
1667340703.322052,10.10.1.100:38914,0,1,21,
1667340703.348539,10.10.1.100:38912,,,25,
1667340703.348752,10.10.1.100:38910,,,40,
1667340703.348960,10.10.1.100:38914,0,1,21,
1667340703.375329,10.10.1.100:38912,,,27,
