jbthakka@romeo:~$ sudo iperf3 -c juliet -t 60 -C reno
Connecting to host juliet, port 5201
[  4] local 10.10.1.100 port 38960 connected to 10.10.2.100 port 5201
[ ID] Interval           Transfer     Bandwidth       Retr  Cwnd
[  4]  56.00-57.00  sec   116 KBytes   950 Kbits/sec    0   58.0 KBytes       
[  4]  57.00-58.00  sec   116 KBytes   950 Kbits/sec    0   60.8 KBytes       
[  4]  58.00-59.00  sec   116 KBytes   950 Kbits/sec    0   63.6 KBytes       
[  4]  59.00-60.00  sec   119 KBytes   973 Kbits/sec    0   66.5 KBytes       
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Retr
[  4]   0.00-60.00  sec  7.16 MBytes  1.00 Mbits/sec   75             sender
[  4]   0.00-60.00  sec  6.90 MBytes   965 Kbits/sec                  receiver

iperf Done.
jbthakka@romeo:~$ 

