1667345289.546231,10.10.1.100:38958,,,10,
1667345289.620248,10.10.1.100:38960,,,12,
1667345289.646547,10.10.1.100:38960,,,14,
1667345289.672243,10.10.1.100:38960,,,17,
1667345289.698158,10.10.1.100:38960,,,18,
1667345289.723842,10.10.1.100:38960,,,21,
1667345289.749684,10.10.1.100:38960,,,23,
1667345289.775516,10.10.1.100:38960,,,25,
1667345289.801389,10.10.1.100:38960,,,27,
1667345289.827304,10.10.1.100:38960,,,29,
1667345289.853153,10.10.1.100:38960,,,31,
1667345289.878944,10.10.1.100:38960,,,33,
1667345289.904716,10.10.1.100:38960,,,36,
1667345289.930495,10.10.1.100:38960,,,38,
1667345289.956386,10.10.1.100:38960,,,40,
1667345289.982231,10.10.1.100:38960,,,42,
1667345290.008027,10.10.1.100:38960,,,44,
1667345290.034031,10.10.1.100:38960,,,46,
1667345290.059812,10.10.1.100:38960,,,48,
1667345290.086115,10.10.1.100:38960,,,50,
1667345290.111959,10.10.1.100:38960,,,52,
1667345290.137851,10.10.1.100:38960,,,54,
1667345290.165135,10.10.1.100:38960,,,56,
1667345290.191112,10.10.1.100:38960,,,58,
1667345290.216910,10.10.1.100:38960,,,60,
1667345290.242721,10.10.1.100:38960,,,63,
1667345290.268555,10.10.1.100:38960,,,66,
1667345290.294551,10.10.1.100:38960,,,68,
1667345290.320310,10.10.1.100:38960,,,70,
1667345290.346128,10.10.1.100:38960,,,72,
1667345290.372012,10.10.1.100:38960,,,74,
1667345290.397923,10.10.1.100:38960,,,76,
1667345290.423770,10.10.1.100:38960,,,79,
1667345290.449486,10.10.1.100:38960,,,81,
1667345290.475217,10.10.1.100:38960,,,83,
1667345290.501068,10.10.1.100:38960,,,85,
1667345290.526727,10.10.1.100:38960,,,87,
1667345290.552550,10.10.1.100:38960,,,89,
1667345290.581619,10.10.1.100:38960,,,91,
1667345290.608665,10.10.1.100:38960,,,93,
1667345290.635131,10.10.1.100:38960,,,96,
1667345290.661457,10.10.1.100:38960,,,98,
1667345290.687331,10.10.1.100:38960,,,100,
1667345290.713104,10.10.1.100:38960,,,101,
1667345290.738892,10.10.1.100:38960,,,103,
1667345290.764894,10.10.1.100:38960,,,107,
1667345290.790584,10.10.1.100:38960,,,109,
1667345290.816362,10.10.1.100:38960,,,111,
1667345290.842371,10.10.1.100:38960,,,113,
1667345290.868290,10.10.1.100:38960,,,115,
1667345290.894035,10.10.1.100:38960,,,117,
1667345290.919937,10.10.1.100:38960,,,120,
1667345290.945647,10.10.1.100:38960,,,122,
1667345290.971490,10.10.1.100:38960,,,124,
1667345290.997380,10.10.1.100:38960,,,126,
1667345291.023122,10.10.1.100:38960,,,128,
1667345291.049164,10.10.1.100:38960,,,130,
1667345291.075035,10.10.1.100:38960,,,132,
1667345291.101446,10.10.1.100:38960,,,134,
1667345291.127236,10.10.1.100:38960,,,136,
1667345291.153143,10.10.1.100:38960,,,139,
1667345291.178987,10.10.1.100:38960,1,1,136,69
1667345291.204853,10.10.1.100:38960,2,2,133,69
